t,<H_sys>,P_1,P_2
380000,1.853324e-02,2.550062e-06,3.333364e-02
382000,1.853239e-02,2.624598e-06,3.358765e-02
384000,1.853154e-02,2.700830e-06,3.384257e-02
386000,1.853070e-02,2.778786e-06,3.409871e-02
388000,1.852986e-02,2.858492e-06,3.435601e-02
390000,1.852903e-02,2.939976e-06,3.461399e-02
392000,1.852819e-02,3.023264e-06,3.487198e-02
394000,1.852735e-02,3.108386e-06,3.512941e-02
396000,1.852652e-02,3.195368e-06,3.538600e-02
398000,1.852568e-02,3.284238e-06,3.564191e-02
400000,1.852485e-02,3.375026e-06,3.589764e-02
402000,1.852401e-02,3.467758e-06,3.615385e-02
404000,1.852317e-02,3.562464e-06,3.641105e-02
406000,1.852233e-02,3.659173e-06,3.666943e-02
408000,1.852149e-02,3.757914e-06,3.692874e-02
410000,1.852065e-02,3.858715e-06,3.718843e-02
412000,1.851980e-02,3.961607e-06,3.744784e-02
414000,1.851897e-02,4.066618e-06,3.770650e-02
416000,1.851813e-02,4.173779e-06,3.796431e-02
418000,1.851731e-02,4.283119e-06,3.822157e-02
420000,1.851648e-02,4.394669e-06,3.847885e-02
422000,1.851565e-02,4.508459e-06,3.873677e-02
424000,1.851483e-02,4.624519e-06,3.899572e-02
426000,1.851400e-02,4.742880e-06,3.925573e-02
428000,1.851317e-02,4.863573e-06,3.951642e-02
430000,1.851235e-02,4.986629e-06,3.977719e-02
432000,1.851152e-02,5.112078e-06,4.003744e-02
434000,1.851070e-02,5.239953e-06,4.029683e-02
436000,1.850988e-02,5.370285e-06,4.055542e-02
438000,1.850905e-02,5.503106e-06,4.081362e-02
440000,1.850822e-02,5.638447e-06,4.107204e-02
442000,1.850739e-02,5.776340e-06,4.133123e-02
444000,1.850655e-02,5.916818e-06,4.159145e-02
446000,1.850572e-02,6.059913e-06,4.185255e-02
448000,1.850489e-02,6.205658e-06,4.211405e-02
450000,1.850406e-02,6.354084e-06,4.237534e-02
452000,1.850325e-02,6.505226e-06,4.263592e-02
454000,1.850244e-02,6.659115e-06,4.289558e-02
456000,1.850163e-02,6.815785e-06,4.315454e-02
458000,1.850083e-02,6.975270e-06,4.341330e-02
460000,1.850002e-02,7.137602e-06,4.367247e-02
462000,1.849920e-02,7.302816e-06,4.393250e-02
464000,1.849838e-02,7.470944e-06,4.419348e-02
466000,1.849755e-02,7.642021e-06,4.445514e-02
468000,1.849672e-02,7.816082e-06,4.471694e-02
470000,1.849589e-02,7.993159e-06,4.497828e-02
472000,1.849507e-02,8.173287e-06,4.523875e-02
474000,1.849425e-02,8.356500e-06,4.549833e-02
476000,1.849343e-02,8.542834e-06,4.575734e-02
478000,1.849263e-02,8.732323e-06,4.601635e-02
480000,1.849182e-02,8.925001e-06,4.627590e-02
482000,1.849102e-02,9.120903e-06,4.653633e-02
484000,1.849021e-02,9.320065e-06,4.679760e-02
486000,1.848940e-02,9.522522e-06,4.705932e-02
488000,1.848859e-02,9.728309e-06,4.732091e-02
490000,1.848778e-02,9.937461e-06,4.758183e-02
492000,1.848697e-02,1.015001e-05,4.784182e-02
494000,1.848616e-02,1.036600e-05,4.810099e-02
496000,1.848535e-02,1.058546e-05,4.835977e-02
498000,1.848454e-02,1.080843e-05,4.861873e-02
500000,1.848372e-02,1.103495e-05,4.887834e-02
502000,1.848291e-02,1.126504e-05,4.913881e-02
504000,1.848210e-02,1.149875e-05,4.939994e-02
506000,1.848129e-02,1.173612e-05,4.966126e-02
508000,1.848048e-02,1.197717e-05,4.992220e-02
510000,1.847968e-02,1.222195e-05,5.018232e-02
512000,1.847888e-02,1.247049e-05,5.044150e-02
514000,1.847808e-02,1.272282e-05,5.069997e-02
516000,1.847728e-02,1.297900e-05,5.095824e-02
518000,1.847648e-02,1.323905e-05,5.121685e-02
520000,1.847568e-02,1.350300e-05,5.147618e-02
522000,1.847488e-02,1.377090e-05,5.173629e-02
524000,1.847408e-02,1.404279e-05,5.199687e-02
526000,1.847327e-02,1.431870e-05,5.225738e-02
528000,1.847247e-02,1.459866e-05,5.251731e-02
530000,1.847166e-02,1.488272e-05,5.277631e-02
532000,1.847086e-02,1.517092e-05,5.303442e-02
534000,1.847006e-02,1.546328e-05,5.329197e-02
